TRAFFIC_DATE,TRAFFIC_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,CONTRIBUTING_FACTOR_VEHICLE,REFERENCE_ID,TRAFFIC_VEHICLE_TYPE_CODE 1,TRAFFIC_VEHICLE_TYPE_CODE2,Junction,Label,Results
29-08-20,21:00:00,,,40.731304,-73.925964,POINT (-73.925964 40.731304),BROOKLYN QUEENS EXPRESSWAY,,,Driver Inattention/Distraction,4343380,Sedan,Sedan,3,1,1
29-08-20,2:20:00,,,40.63683,-74.139114,POINT (-74.139114 40.63683),,,140 HARRISON AVENUE,Driver Inattention/Distraction,4343297,Sedan,Sedan,2,0,0
29-08-20,11:52:00,MANHATTAN,10032.0,40.838375,-73.94613,POINT (-73.94613 40.838375),,,910 RIVERSIDE DRIVE,Unspecified,4343043,Station Wagon/Sport Utility Vehicle,,1,0,0
29-08-20,17:44:00,,,,,,MANHATTAN BR UPPER,,,Passing or Lane Usage Improper,4343566,Station Wagon/Sport Utility Vehicle,Sedan,2,1,1
29-08-20,8:54:00,BRONX,10454.0,40.81373,-73.9221,POINT (-73.9221 40.81373),3 AVENUE,EAST 144 STREET,,Driver Inattention/Distraction,4343119,Station Wagon/Sport Utility Vehicle,,3,0,0
29-08-20,15:00:00,BRONX,10469.0,40.861034,-73.83617,POINT (-73.83617 40.861034),,,2400 GUNTHER AVENUE,Driver Inattention/Distraction,4343289,Sedan,Sedan,1,1,1
29-08-20,18:00:00,BROOKLYN,11236.0,40.651157,-73.918144,POINT (-73.918144 40.651157),REMSEN AVENUE,AVENUE A,,Unspecified,4343098,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,3,0,0
29-08-20,23:15:00,STATEN ISLAND,10306.0,40.55573,-74.123375,POINT (-74.123375 40.55573),CHESTERTON AVENUE,GRAYSON STREET,,Unspecified,4342765,Sedan,,1,1,1
29-08-20,0:02:00,QUEENS,11374.0,40.727623,-73.87089,POINT (-73.87089 40.727623),,,61-60 WOODHAVEN BOULEVARD,Driver Inattention/Distraction,4342916,Box Truck,,Double Road Junction,0,0
29-08-20,7:00:00,,,40.764122,-73.812775,POINT (-73.812775 40.764122),ROOSEVELT AVENUE,,,Passing Too Closely,4342723,Sedan,,Tribble Road Junction,1,1
29-08-20,14:00:00,BROOKLYN,11212.0,40.668324,-73.902336,POINT (-73.902336 40.668324),,,455 SUTTER AVENUE,Passing Too Closely,4342799,Sedan,,Shopping Mall Road,0,0
29-08-20,2:54:00,BROOKLYN,11214.0,40.599705,-73.99016,POINT (-73.99016 40.599705),86 STREET,BAY 35 STREET,,Driver Inexperience,4342904,Sedan,,Ghat Road Junction,0,0
29-08-20,21:15:00,,,40.786003,-73.80219,POINT (-73.80219 40.786003),CROSS ISLAND PARKWAY,,,Following Too Closely,4342756,Sedan,Sedan,Parallel Road Junction,1,1
29-08-20,19:00:00,BRONX,10461.0,40.838074,-73.83333,POINT (-73.83333 40.838074),,,2831 LASALLE AVENUE,Backing Unsafely,4343552,Convertible,Sedan,Lake Road Junction,1,1
